"n","company","country","city","category","linkedin_search","note_200","portfolio_link","why"
"19","Moritz Verlag","DE","Frankfurt","illustration","Moritz Verlag Kinderbuch","Hello {Name}! I'm an illustrator who paints digitally for kids. Moritz Verlag's books are small and beautiful, I'd love to draw one :) sofiiac.netlify.app/illustration","https://sofiiac.netlify.app/illustration","Малий незалежний, тільки ілюстровані дитячі книжки. Дуже кураторський список."
"20","Wydawnictwo Dwie Siostry","PL","Warsaw","illustration","Wydawnictwo Dwie Siostry redaktor","Hello {Name}! I'm a children's book illustrator, I paint digitally. Dwie Siostry's books look like exactly where my style belongs :) sofiiac.netlify.app/illustration","https://sofiiac.netlify.app/illustration","Найкраща ціль зі списку. Проводять конкурс Clairvoyants саме для дебюту ілюстраторів, тобто відкриті до нових імен за визначенням."
"21","Nasza Księgarnia","PL","Warsaw","illustration","Nasza Księgarnia art director","Hello {Name}! I'm a children's book illustrator; I paint digitally and do layout. Nasza Księgarnia seems like a great fit for my work :) sofiiac.netlify.app/illustration","https://sofiiac.netlify.app/illustration","Найстаріший дитячий видавець Польщі, ще й настільні ігри. Два типи замовлень."
"22","Wydawnictwo Zakamarki","PL","Poznań","illustration","Wydawnictwo Zakamarki","Hello {Name}! I'm an illustrator, I paint digitally for children. Zakamarki picks such warm books, I'd love to draw for you :) sofiiac.netlify.app/illustration","https://sofiiac.netlify.app/illustration","Малий, спеціалізується на скандинавській дитячій книзі. Сильний смак до ілюстрації."
"23","Ravensburger","DE","Ravensburg","illustration","Art Director Ravensburger","Hello {Name}! I'm an illustrator who paints digitally for kids. Ravensburger puzzles and books look like so much fun to draw :) sofiiac.netlify.app/illustration","https://sofiiac.netlify.app/illustration","Пазли, ігри, книжки. Один з найбільших замовників ілюстрації в Європі, і не лише книжкової."
"24","Rabén & Sjögren","SE","Stockholm","illustration","Art Director Rabén Sjögren","Hello {Name}! I'm a children's book illustrator, I paint digitally. Rabén & Sjögren's picture books feel close to my style :) sofiiac.netlify.app/illustration","https://sofiiac.netlify.app/illustration","Провідний дитячий видавець Швеції, працюють і зі шведськими, і з міжнародними ілюстраторами."
"25","Bonnier Carlsen","SE","Stockholm","illustration","Art Director Bonnier Carlsen","Hello {Name}! I'm a children's book illustrator; I paint digitally and also do book layout. Bonnier Carlsen looks like a good fit for me :) sofiiac.netlify.app/illustration","https://sofiiac.netlify.app/illustration","Великий шведський дитячий видавець у групі Bonnier. Багато серій, постійні брифи."
"26","Natur & Kultur","SE","Stockholm","illustration","Natur Kultur barnböcker art director","Hello {Name}! I'm an illustrator, I paint digitally and do book layout. Natur & Kultur seems like a place where I could help :) sofiiac.netlify.app/illustration","https://sofiiac.netlify.app/illustration","Дитячий і освітній напрям разом. Освітній сегмент бере ілюстраторів охочіше."
"27","Forlaget Carlsen","DK","Copenhagen","illustration","Forlaget Carlsen art director","Hello {Name}! I'm a children's book illustrator, I paint digitally. Forlaget Carlsen's books are the kind I'd love to work on :) sofiiac.netlify.app/illustration","https://sofiiac.netlify.app/illustration","Данський дитячий видавець у групі Egmont. Великий обсяг, серії, ліцензії."
"28","Gyldendal","DK","Copenhagen","illustration","Gyldendal børnebøger art director","Hello {Name}! I'm a children's book illustrator; I paint digitally and also do book layout. Gyldendal feels like a place my style would fit :) sofiiac.netlify.app/illustration","https://sofiiac.netlify.app/illustration","Найбільший данський видавець, є дитячий і освітній відділи."
"29","Cappelen Damm","NO","Oslo","illustration","Cappelen Damm barnebøker art director","Hello {Name}! I'm an illustrator who paints digitally for kids. Cappelen Damm's children's list looks like a great fit for me :) sofiiac.netlify.app/illustration","https://sofiiac.netlify.app/illustration","Найбільший норвезький видавець, сильний дитячий напрям і підручники."
"30","Otava","FI","Helsinki","illustration","Otava lastenkirjat art director","Hello {Name}! I'm a children's book illustrator, I paint digitally and do layout. Otava seems like a place where I could be useful :) sofiiac.netlify.app/illustration","https://sofiiac.netlify.app/illustration","Великий фінський видавець з окремим дитячим напрямом і навчальним підрозділом."
"31","Tammi","FI","Helsinki","illustration","Tammi lastenkirjat kustannustoimittaja","Hello {Name}! I'm a children's book illustrator, I paint digitally. Tammi's picture books look like the kind I'd love to draw :) sofiiac.netlify.app/illustration","https://sofiiac.netlify.app/illustration","Фінський дитячий видавець у групі Bonnier, багато перекладних і власних picture books."
"32","GEOlino","DE","Hamburg","illustration","GEOlino Art Director","Hello {Name}! I'm an illustrator, I paint digitally for kids. GEOlino explains things so well, I'd love to illustrate for it :) sofiiac.netlify.app/illustration","https://sofiiac.netlify.app/illustration","Дитячий журнал, виходить щомісяця. Журнали замовляють ілюстрацію регулярно і рішення ухвалюють швидше за книжкові видавництва."
"33","Zo Zit Dat","NL","Amsterdam","illustration","Zo Zit Dat magazine art director","Hello {Name}! I'm an illustrator who paints digitally for children. Zo Zit Dat looks like a really fun thing to draw for :) sofiiac.netlify.app/illustration","https://sofiiac.netlify.app/illustration","Нідерландський науково-популярний журнал для дітей. Постійна потреба в пояснювальній ілюстрації."
"34","Djeco","FR","Paris","illustration","Djeco directeur artistique","Hello {Name}! I'm an illustrator, I paint digitally. Djeco works with illustrators so beautifully, I'd love to be one of them :) sofiiac.netlify.app/illustration","https://sofiiac.netlify.app/illustration","Ідеальна ціль. Щороку роблять нові колаборації саме з ілюстраторами, це їхня бізнес-модель. Книжок не треба, треба стиль."
"35","Londji","ES","Barcelona","illustration","Londji art director Barcelona","Hello {Name}! I'm an illustrator, I paint digitally. Londji's puzzles are built around illustration, I'd love to make one :) sofiiac.netlify.app/illustration","https://sofiiac.netlify.app/illustration","Іспанський бренд іграшок і пазлів, кожен продукт побудований навколо конкретного ілюстратора."
"36","Moulin Roty","FR","Nort-sur-Erdre","illustration","Moulin Roty directeur artistique","Hello {Name}! I'm an illustrator who paints digitally for kids. Moulin Roty's world is so gentle, I'd love to draw in it :) sofiiac.netlify.app/illustration","https://sofiiac.netlify.app/illustration","Французькі іграшки й книжечки з дуже впізнаваним ілюстрованим стилем."
"37","HABA","DE","Bad Rodach","illustration","HABA Spiele Art Director","Hello {Name}! I'm an illustrator, I paint digitally and design characters. HABA's games look like a joy to illustrate :) sofiiac.netlify.app/illustration","https://sofiiac.netlify.app/illustration","Німецькі дитячі ігри та іграшки. Ігри потребують багато персонажів і карток."
"38","Janod","FR","Orchamps","illustration","Janod directeur artistique jouets","Hello {Name}! I'm an illustrator, I paint digitally for children. Janod's toys have such a clear look, I'd love to draw for them :) sofiiac.netlify.app/illustration","https://sofiiac.netlify.app/illustration","Дерев'яні іграшки й пазли, сильний ілюстрований бренд."
"39","Lilliputiens","BE","Wavre","illustration","Lilliputiens art director","Hello {Name}! I'm an illustrator who paints digitally and designs characters. Lilliputiens looks like a lovely place to draw for :) sofiiac.netlify.app/illustration","https://sofiiac.netlify.app/illustration","Бельгійський бренд м'яких іграшок і книжок, усе тримається на ілюстрованих персонажах."
"40","ELI Publishing","IT","Recanati","illustration","ELI Publishing art director","Hello {Name}! I'm an illustrator, I paint digitally and also do layout. ELI's language books need a lot of drawing, I'd love to help :) sofiiac.netlify.app/illustration","https://sofiiac.netlify.app/illustration","Видавець матеріалів для вивчення мов, 40+ років. Освітній сегмент бере ілюстраторів без гучного портфоліо охочіше за книжковий."
"41","Sanoma Learning","NL","Utrecht","design","Sanoma Learning designer Utrecht","Hello {Name}! I'm a designer; I do layout and simple branding, and I illustrate too. I'd love to help Sanoma with design work :) sofiiac.netlify.app/design","https://sofiiac.netlify.app/design","Великий освітній видавець, багато цифрових і друкованих продуктів. Потрібна верстка і оформлення."
"42","Malmberg","NL","Den Bosch","design","Malmberg vormgever designer","Hello {Name}! I'm a designer and illustrator; book layout is a big part of what I do. I'd love to work with Malmberg :) sofiiac.netlify.app/design","https://sofiiac.netlify.app/design","Нідерландський освітній видавець. Підручники це постійна робота з версткою."
"43","Noordhoff","NL","Groningen","design","Noordhoff Uitgevers designer","Hello {Name}! I'm a designer who also illustrates; I do layout for books. Noordhoff looks like a place I could be useful :) sofiiac.netlify.app/design","https://sofiiac.netlify.app/design","Ще один великий нідерландський освітній видавець, той самий тип роботи."
"44","Babbel","DE","Berlin","design","Babbel Brand Designer Berlin","Hello {Name}! I'm a designer and illustrator; I do layout, branding and drawing. I'd love to help Babbel with design :) sofiiac.netlify.app/design","https://sofiiac.netlify.app/design","Мовний застосунок, велика дизайн-команда і багато ілюстрованого контенту."
"45","GoStudent","AT","Vienna","design","GoStudent Design Vienna","Hello {Name}! I'm a designer and illustrator; I do layout and branding. GoStudent looks like a place where I could help :) sofiiac.netlify.app/design","https://sofiiac.netlify.app/design","Освітній стартап, швидко ростуть, часто беруть фрилансерів на дизайн."
"46","Kahoot","NO","Oslo","design","Kahoot Designer Oslo","Hello {Name}! I'm a designer and illustrator; I do layout, branding and drawing for kids. I'd love to help Kahoot :) sofiiac.netlify.app/design","https://sofiiac.netlify.app/design","Освітня платформа для шкіл, дуже візуальний продукт."
"47","Little Gestalten","DE","Berlin","design","Little Gestalten editor Berlin","Hello {Name}! I'm a designer and illustrator; I do book layout and paint digitally. Little Gestalten feels like my kind of books :) sofiiac.netlify.app/design","https://sofiiac.netlify.app/design","Дитячий імпринт Gestalten. Книжки, де дизайн і ілюстрація нерозривні, тому логічно показати обидва."
"48","Helvetiq","CH","Lausanne","both","Helvetiq art director Lausanne","Hello {Name}! I'm an illustrator and designer; I paint digitally and do book layout too. Helvetiq seems to need both :) sofiiac.netlify.app/","https://sofiiac.netlify.app/","Ігри плюс ілюстровані книжки в одній компанії. Тут справді треба і те, і те."
"49","Toca Boca","SE","Stockholm","both","Toca Boca Art Director Stockholm","Hello {Name}! I'm an illustrator and designer; I paint digitally and do layout. Toca Boca's world looks like such a joy to draw :) sofiiac.netlify.app/","https://sofiiac.netlify.app/","Ігри для дітей зі Стокгольма, дуже сильний візуальний стиль. Беруть і ілюстрацію, і дизайн."
"50","Lingokids","ES","Madrid","both","Lingokids Art Director Madrid","Hello {Name}! I'm an illustrator and designer; I paint digitally and do layout too. Lingokids looks like a place I could help :) sofiiac.netlify.app/","https://sofiiac.netlify.app/","Застосунок для вивчення англійської дітьми, команда повністю віддалена. Віддалена команда це плюс для фрилансера."
